"","Daniorerio","Campylomormyruscompressirostris"
"96","plrg1","maker-ptg002179l-snap-gene-2.17-mRNA-1"
"97","cenpe","maker-ptg002215l-augustus-gene-0.41-mRNA-1"
"98","LOC100332250","maker-ptg001524l-augustus-gene-1.53-mRNA-1"
"99","lrpap1","maker-ptg000589l-snap-gene-6.59-mRNA-1"
"102","gas6","maker-ptg001524l-augustus-gene-2.163-mRNA-1"
"103","zgc_174945","maker-ptg000441l-est_gff_est2genome-gene-9.3-mRNA-1"
"105","map9","maker-ptg002179l-snap-gene-2.12-mRNA-1"
"108","chrna6","maker-ptg000989l-augustus-gene-2.26-mRNA-1"
"110","tpp2","maker-ptg001524l-snap-gene-2.3-mRNA-1"
"113","mettl21cb","maker-ptg001524l-augustus-gene-2.176-mRNA-1"
"114","mettl21e","maker-ptg000149l-augustus-gene-2.59-mRNA-1"
"116","blzf1","snap_masked-ptg001524l-processed-gene-2.126-mRNA-1"
"117","ugt8","maker-ptg000111l-snap-gene-4.48-mRNA-1"
"118","trmt10c","maker-ptg000930l-snap-gene-4.31-mRNA-1"
"119","txnl4b","maker-ptg000970l-snap-gene-2.34-mRNA-1"
"121","mrpl16","maker-ptg000930l-augustus-gene-4.200-mRNA-1"
"122","cenpq","maker-ptg000970l-augustus-gene-2.105-mRNA-1"
"124","mrpl39","maker-ptg000930l-augustus-gene-4.198-mRNA-1"
"125","jam2a","maker-ptg000930l-augustus-gene-3.39-mRNA-1"
"126","atp5pf","maker-ptg000970l-augustus-gene-1.33-mRNA-1"
"127","gabpa","maker-ptg000930l-snap-gene-3.57-mRNA-1"
"129","appa","snap_masked-ptg000930l-processed-gene-4.242-mRNA-1"
"130","cyyr1","maker-ptg000930l-augustus-gene-4.165-mRNA-1"
"131","adamts1","maker-ptg000930l-snap-gene-4.9-mRNA-1"
"132","adamts5","maker-ptg000930l-snap-gene-4.0-mRNA-1"
"135","n6amt1","maker-ptg000930l-snap-gene-3.45-mRNA-1"
"137","gart","maker-ptg000930l-snap-gene-1.11-mRNA-1"
"141","LOC565999","maker-ptg000970l-snap-gene-2.9-mRNA-1"
"145","sona","maker-ptg000496l-snap-gene-2.20-mRNA-1"
"146","runx1","maker-ptg000496l-snap-gene-3.53-mRNA-1"
"147","urp2","maker-ptg000496l-augustus-gene-3.32-mRNA-1"
"149","LOC100333907","maker-ptg001122l-snap-gene-3.60-mRNA-1"
"152","atp1a1a.4","maker-ptg000970l-augustus-gene-2.127-mRNA-1"
"157","ptgfrnb","maker-ptg000970l-augustus-gene-3.16-mRNA-1"
"162","kpnb3","maker-ptg000821l-snap-gene-0.61-mRNA-1"
"167","gpc5a","maker-ptg000718l-snap-gene-7.8-mRNA-1"
"168","LOC101882841","maker-ptg000718l-est_gff_est2genome-gene-10.3-mRNA-1"
"169","slitrk6","snap_masked-ptg000029l-processed-gene-25.0-mRNA-1"
"170","slitrk1","snap_masked-ptg000718l-processed-gene-11.0-mRNA-1"
"172","ndfip2","maker-ptg000029l-augustus-gene-14.0-mRNA-1"
"181","tuba8l2","maker-ptg001666l-snap-gene-14.123-mRNA-1"
"183","mnx2b","maker-ptg000133l-snap-gene-4.36-mRNA-1"
"184","atic","maker-ptg000133l-snap-gene-4.32-mRNA-1"
"185","fn1b","maker-ptg000133l-snap-gene-2.27-mRNA-1"
"186","cpo","maker-ptg001666l-snap-gene-14.158-mRNA-1"
"189","abcb6a","maker-ptg000400l-snap-gene-18.77-mRNA-1"
"190","cnppd1","maker-ptg000714l-augustus-gene-1.124-mRNA-1"
"192","retreg2","maker-ptg000400l-snap-gene-18.59-mRNA-1"
"193","mdh1b","maker-ptg000400l-snap-gene-17.16-mRNA-1"
"194","fastkd2","maker-ptg000714l-augustus-gene-1.144-mRNA-1"
"195","gtf3c3","maker-ptg000235l-augustus-gene-4.54-mRNA-1"
"198","klf7a","snap_masked-ptg000133l-processed-gene-11.4-mRNA-1"
"205","mylz3","maker-ptg000133l-augustus-gene-18.18-mRNA-1"
"206","pcnp","maker-ptg000970l-augustus-gene-1.37-mRNA-1"
"209","arglu1b","maker-ptg002606l-augustus-gene-0.0-mRNA-1"
"210","en1b","maker-ptg001536l-augustus-gene-11.8-mRNA-1"
"215","LOC137496132","snap_masked-ptg000115l-processed-gene-2.69-mRNA-1"
"216","LOC137496133","snap_masked-ptg000115l-processed-gene-2.69-mRNA-1"
"229","slc5a10","maker-ptg000323l-snap-gene-1.72-mRNA-1"
"230","fam83gb","maker-ptg000323l-snap-gene-1.89-mRNA-1"
"239","alkbh5","maker-ptg000028l-augustus-gene-137.4-mRNA-1"
"241","mief2","maker-ptg000028l-augustus-gene-136.39-mRNA-1"
"244","ptcd1","maker-ptg000028l-augustus-gene-138.215-mRNA-1"
"248","fbxl18","maker-ptg000028l-snap-gene-118.68-mRNA-1"
"251","abcg2b","maker-ptg000775l-snap-gene-4.93-mRNA-1"
"262","acsm3","maker-ptg000028l-snap-gene-138.45-mRNA-1"
"265","si_ch211-14k19.8","maker-ptg000431l-snap-gene-1.8-mRNA-1"
"266","palb2","maker-ptg000431l-augustus-gene-1.13-mRNA-1"
"271","ern2","maker-ptg000431l-snap-gene-0.19-mRNA-1"
"275","si_dkeyp-72e1.9","maker-ptg000028l-snap-gene-134.2-mRNA-1"
"279","ubn1","maker-ptg000028l-snap-gene-133.1-mRNA-1"
"282","micall2b","maker-ptg000028l-snap-gene-132.0-mRNA-1"
"283","gaa2","maker-ptg000028l-snap-gene-131.13-mRNA-1"
"287","mad1l1","snap_masked-ptg000028l-processed-gene-128.0-mRNA-1"
"288","pmm2","maker-ptg001029l-augustus-gene-15.33-mRNA-1"
"289","ints15","maker-ptg000886l-snap-gene-0.44-mRNA-1"
"291","rgs11","snap_masked-ptg000886l-processed-gene-0.179-mRNA-1"
"292","pgap6","maker-ptg001029l-augustus-gene-15.47-mRNA-1"
"294","pdia2","maker-ptg001029l-augustus-gene-15.38-mRNA-1"
"298","trim2b","maker-ptg000344l-augustus-gene-8.81-mRNA-1"
"300","tmem154","maker-ptg000344l-snap-gene-7.6-mRNA-1"
"301","fbxw7","maker-ptg000344l-snap-gene-6.70-mRNA-1"
"305","rps3a","maker-ptg000344l-snap-gene-5.74-mRNA-1"
"306","mab21l2","snap_masked-ptg001497l-processed-gene-0.31-mRNA-1"
"310","arhgap10","maker-ptg000344l-snap-gene-3.5-mRNA-1"
"311","tmem184c","maker-ptg000344l-augustus-gene-2.2-mRNA-1"
"312","ednrab","maker-ptg000344l-augustus-gene-2.0-mRNA-1"
"314","pou4f2","maker-ptg000344l-snap-gene-1.15-mRNA-1"
"315","slc10a7","maker-ptg000344l-snap-gene-5.101-mRNA-1"
"320","hhip","maker-ptg000671l-augustus-gene-1.5-mRNA-1"
"321","LOC101884517","maker-ptg000792l-augustus-gene-3.255-mRNA-1"
"322","smarca5","maker-ptg000792l-snap-gene-3.35-mRNA-1"
"323","gab1","maker-ptg000792l-snap-gene-3.38-mRNA-1"
"326","rnf175","maker-ptg000792l-augustus-gene-1.6-mRNA-1"
"328","sfrp2","maker-ptg000792l-snap-gene-1.18-mRNA-1"
"329","fgb","snap_masked-ptg000792l-processed-gene-3.182-mRNA-1"
"330","LOC100536670","maker-ptg000792l-snap-gene-1.15-mRNA-1"
"331","fga","maker-ptg000792l-snap-gene-1.16-mRNA-1"
"332","lratb.1","maker-ptg000792l-snap-gene-3.138-mRNA-1"
"333","lratb.2","maker-ptg002179l-snap-gene-2.27-mRNA-1"
"334","rbm46","maker-ptg000792l-snap-gene-3.128-mRNA-1"
"336","npy2rl","snap_masked-ptg000792l-processed-gene-3.177-mRNA-1"
"337","eif3f","snap_masked-ptg000830l-processed-gene-5.31-mRNA-1"
"340","LOC557811","maker-ptg000170l-augustus-gene-0.4-mRNA-1"
"347","zgc_174945","maker-ptg000441l-est_gff_est2genome-gene-9.3-mRNA-1"
"350","atp1b1b","maker-ptg000509l-snap-gene-9.39-mRNA-1"
"354","dmd","maker-ptg001524l-augustus-gene-4.6-mRNA-1"
"356","knl1","maker-ptg002415l-augustus-gene-2.6-mRNA-1"
"357","knstrn","maker-ptg000335l-snap-gene-60.2-mRNA-1"
"361","brat1","maker-ptg000028l-augustus-gene-125.23-mRNA-1"
"362","eif3bb","maker-ptg001070l-snap-gene-11.45-mRNA-1"
"363","si_dkey-26i13.8","maker-ptg000028l-snap-gene-125.35-mRNA-1"
"365","iqce","maker-ptg000028l-augustus-gene-127.2-mRNA-1"
"367","grk4","maker-ptg000589l-snap-gene-6.81-mRNA-1"
"368","tspan5b","maker-ptg002632l-snap-gene-2.2-mRNA-1"
"369","slc1a1","snap_masked-ptg000148l-processed-gene-22.10-mRNA-1"
"370","slc24a2","maker-ptg000148l-snap-gene-9.4-mRNA-1"
"371","saraf","maker-ptg000148l-augustus-gene-4.54-mRNA-1"
"372","pla2g12a","maker-ptg001653l-augustus-gene-0.6-mRNA-1"
"374","xpa","maker-ptg000311l-augustus-gene-21.1-mRNA-1"
"376","mttp","maker-ptg002632l-augustus-gene-2.75-mRNA-1"
"382","tmod1","snap_masked-ptg000148l-processed-gene-15.106-mRNA-1"
"384","gne","maker-ptg000148l-snap-gene-7.34-mRNA-1"
"385","nansa","snap_masked-ptg000311l-processed-gene-19.46-mRNA-1"
"387","sclt1","maker-ptg001246l-snap-gene-11.51-mRNA-1"
"388","zgc_77739","maker-ptg001246l-augustus-gene-11.25-mRNA-1"
"389","pcdh10a","maker-ptg001246l-snap-gene-16.3-mRNA-1"
"400","wfs1a","maker-ptg000993l-augustus-gene-9.21-mRNA-1"
"401","crmp1","maker-ptg000040l-augustus-gene-5.12-mRNA-1"
"403","fip1l1b","maker-ptg000361l-snap-gene-34.40-mRNA-1"
"404","LOC553528","maker-ptg000361l-snap-gene-30.112-mRNA-1"
"405","chic2","maker-ptg000993l-snap-gene-9.86-mRNA-1"
"407","slc34a2a","maker-ptg000993l-snap-gene-9.82-mRNA-1"
"408","rbpja","maker-ptg000278l-augustus-gene-2.0-mRNA-1"
"416","hgsnat","snap_masked-ptg000589l-processed-gene-0.67-mRNA-1"
"417","pi4k2b","maker-ptg000589l-snap-gene-0.23-mRNA-1"
"420","sgcz","maker-ptg000021l-snap-gene-32.2-mRNA-1"
"427","micu3a","maker-ptg000707l-snap-gene-4.75-mRNA-1"
"429","zdhhc2","maker-ptg000021l-augustus-gene-30.20-mRNA-1"
"430","LOC794952","maker-ptg001122l-augustus-gene-11.39-mRNA-1"
"431","vps37a","maker-ptg000707l-snap-gene-4.65-mRNA-1"
"433","mtmr7b","snap_masked-ptg000707l-processed-gene-3.22-mRNA-1"
"438","fgl1","maker-ptg000707l-augustus-gene-3.68-mRNA-1"
"439","pcm1","maker-ptg000707l-augustus-gene-4.10-mRNA-1"
"442","asah1b","maker-ptg000707l-snap-gene-3.28-mRNA-1"
"445","frg1","maker-ptg000707l-snap-gene-3.27-mRNA-1"
"447","casp3a","maker-ptg001507l-augustus-gene-1.226-mRNA-1"
"449","primpol","maker-ptg001507l-snap-gene-1.144-mRNA-1"
"452","acsl1a","snap_masked-ptg001507l-processed-gene-1.20-mRNA-1"
"454","helt","maker-ptg001507l-snap-gene-1.143-mRNA-1"
"456","si_ch211-197n1.2","maker-ptg001507l-snap-gene-1.86-mRNA-1"
"458","slc25a4","maker-ptg001507l-augustus-gene-1.241-mRNA-1"
"459","cfap97","maker-ptg001507l-snap-gene-1.81-mRNA-1"
"462","ankrd37","maker-ptg001507l-snap-gene-1.121-mRNA-1"
"464","ufsp2","maker-ptg001507l-augustus-gene-0.6-mRNA-1"
"469","pdlim3a","maker-ptg001507l-snap-gene-0.23-mRNA-1"
"472","tlr3","maker-ptg000707l-augustus-gene-0.0-mRNA-1"
"474","klhl5","maker-ptg000311l-snap-gene-25.137-mRNA-1"
"475","si_dkey-192k22.2","maker-ptg000311l-augustus-gene-25.29-mRNA-1"
"476","fam114a1","maker-ptg000311l-snap-gene-25.139-mRNA-1"
"477","klf3","maker-ptg000446l-snap-gene-0.15-mRNA-1"
"478","tbc1d1","maker-ptg002632l-snap-gene-3.75-mRNA-1"
"479","pgm2","maker-ptg002632l-snap-gene-3.80-mRNA-1"
"481","zgc_195282","snap_masked-ptg000416l-processed-gene-0.14-mRNA-1"
"483","limch1a","maker-ptg000573l-snap-gene-4.104-mRNA-1"
"486","ptpn9b","maker-ptg001246l-snap-gene-7.2-mRNA-1"
"487","ptprdb","maker-ptg000314l-snap-gene-8.31-mRNA-1"
"489","si_dkeyp-118a3.2","maker-ptg000314l-snap-gene-11.0-mRNA-1"
"490","tyrp1b","snap_masked-ptg000047l-processed-gene-21.0-mRNA-1"
"493","lap3","maker-ptg000211l-augustus-gene-0.14-mRNA-1"
"494","clockb","maker-ptg000361l-snap-gene-37.7-mRNA-1"
"497","clrn2","maker-ptg000211l-augustus-gene-0.11-mRNA-1"
"498","exoc1l","snap_masked-ptg001246l-processed-gene-1.11-mRNA-1"
"500","smc2","maker-ptg000314l-augustus-gene-6.11-mRNA-1"
"502","elavl2","maker-ptg000047l-snap-gene-11.24-mRNA-1"
"505","usp53b","maker-ptg000314l-snap-gene-4.49-mRNA-1"
"506","ecpas","maker-ptg000314l-snap-gene-6.10-mRNA-1"
"507","myoz2b","maker-ptg000314l-augustus-gene-4.2-mRNA-1"
"508","synpo2b","snap_masked-ptg000314l-processed-gene-4.24-mRNA-1"
"509","abca1a","maker-ptg001246l-snap-gene-4.95-mRNA-1"
"511","fbxo10","maker-ptg000416l-snap-gene-1.160-mRNA-1"
"512","sec24d","maker-ptg000314l-snap-gene-2.5-mRNA-1"
"514","kcnip1a","maker-ptg000314l-augustus-gene-2.9-mRNA-1"
"515","polr1e","snap_masked-ptg002632l-processed-gene-3.158-mRNA-1"
"519","ppargc1a","maker-ptg000314l-snap-gene-0.1-mRNA-1"
"520","tmem192","maker-ptg000111l-snap-gene-3.8-mRNA-1"
"521","dhx15","maker-ptg002632l-snap-gene-4.53-mRNA-1"
"522","aptx","maker-ptg001246l-snap-gene-4.149-mRNA-1"
"523","sod3b","maker-ptg002632l-snap-gene-3.145-mRNA-1"
"526","dnaja1","maker-ptg001246l-snap-gene-4.16-mRNA-1"
"527","lgi2a","maker-ptg002632l-snap-gene-4.26-mRNA-1"
"529","smu1a","maker-ptg001246l-augustus-gene-4.228-mRNA-1"
"531","mttp","maker-ptg002632l-augustus-gene-2.75-mRNA-1"
"535","marchf1","maker-ptg000111l-snap-gene-4.40-mRNA-1"
"536","tspan5b","maker-ptg002632l-snap-gene-2.2-mRNA-1"
"538","ppp1r15a","maker-ptg002632l-snap-gene-3.135-mRNA-1"
"541","tma16","maker-ptg000111l-snap-gene-4.84-mRNA-1"
"545","acer2","maker-ptg002632l-snap-gene-1.33-mRNA-1"
"546","fnip2","maker-ptg001962l-snap-gene-0.8-mRNA-1"
"548","dennd4c","maker-ptg002632l-snap-gene-1.16-mRNA-1"
"551","zbtb5","maker-ptg002632l-augustus-gene-1.67-mRNA-1"
"555","uba6","maker-ptg001246l-snap-gene-6.26-mRNA-1"
"558","spock3","maker-ptg000111l-augustus-gene-1.0-mRNA-1"
"560","tll1","maker-ptg000111l-augustus-gene-4.93-mRNA-1"
"562","msmo1","maker-ptg000111l-augustus-gene-4.105-mRNA-1"
"565","polr1e","snap_masked-ptg002632l-processed-gene-3.158-mRNA-1"
"567","adamtsl7","maker-ptg001246l-snap-gene-7.6-mRNA-1"
"568","npy1r","maker-ptg000111l-augustus-gene-5.0-mRNA-1"
"570","primpol","maker-ptg001507l-snap-gene-1.144-mRNA-1"
"571","zcchc7","maker-ptg001246l-snap-gene-7.10-mRNA-1"
"572","pax5","maker-ptg001246l-augustus-gene-8.10-mRNA-1"
"577","frmpd1","maker-ptg002632l-snap-gene-3.102-mRNA-1"
"578","LOC103909988","maker-ptg001246l-snap-gene-10.13-mRNA-1"
"581","dnah6","maker-ptg001246l-augustus-gene-11.27-mRNA-1"
"582","chrna6","maker-ptg000989l-augustus-gene-2.26-mRNA-1"
"585","chrnb3a","maker-ptg001246l-snap-gene-9.15-mRNA-1"
"587","uchl1","maker-ptg000573l-snap-gene-4.126-mRNA-1"
"589","fgfbp1b","snap_masked-ptg000573l-processed-gene-1.2-mRNA-1"
"590","fgfbp2b","snap_masked-ptg000139l-processed-gene-1.34-mRNA-1"
"591","prom1b","maker-ptg000573l-augustus-gene-1.3-mRNA-1"
"596","rfc1","maker-ptg000573l-snap-gene-6.24-mRNA-1"
"597","rpl9","maker-ptg000573l-snap-gene-6.22-mRNA-1"
"598","lias","maker-ptg000573l-snap-gene-6.61-mRNA-1"
"600","ugdh","maker-ptg000525l-snap-gene-9.28-mRNA-1"
"605","ube2ka","maker-ptg000446l-snap-gene-1.4-mRNA-1"
"608","n4bp2","maker-ptg000573l-augustus-gene-5.20-mRNA-1"
"609","rhoh","snap_masked-ptg000446l-processed-gene-2.3-mRNA-1"
"611","fam184b","maker-ptg000211l-snap-gene-1.8-mRNA-1"
"612","ncapg","maker-ptg000211l-snap-gene-3.0-mRNA-1"
"614","slit2","maker-ptg000211l-augustus-gene-3.25-mRNA-1"
"615","lrba","maker-ptg001939l-snap-gene-0.92-mRNA-1"
"616","mab21l2","snap_masked-ptg001497l-processed-gene-0.31-mRNA-1"
"618","sh3d19","maker-ptg001939l-snap-gene-0.97-mRNA-1"
"620","fhip1aa","maker-ptg001939l-snap-gene-0.74-mRNA-1"
"621","gatb","maker-ptg001939l-snap-gene-0.122-mRNA-1"
"623","fbxw7","maker-ptg000344l-snap-gene-6.70-mRNA-1"
"625","tmem154","maker-ptg000344l-snap-gene-7.6-mRNA-1"
"626","mnd1","maker-ptg001164l-snap-gene-0.41-mRNA-1"
"628","tmem131l","maker-ptg002179l-snap-gene-2.29-mRNA-1"
"629","trim2a","maker-ptg001164l-snap-gene-0.35-mRNA-1"
"631","arfip1","maker-ptg002567l-snap-gene-0.5-mRNA-1"
"633","dchs2","maker-ptg002179l-augustus-gene-2.48-mRNA-1"
"634","plrg1","maker-ptg002179l-snap-gene-2.17-mRNA-1"
"636","fgg","maker-ptg002179l-augustus-gene-2.41-mRNA-1"
"642","lratb.2","maker-ptg002179l-snap-gene-2.27-mRNA-1"
"643","LOC100537259","maker-ptg000029l-snap-gene-32.0-mRNA-1"
"644","lrata","maker-ptg000792l-snap-gene-3.129-mRNA-1"
"645","si_rp71-1d10.8","snap_masked-ptg002179l-processed-gene-2.62-mRNA-1"
"646","LOC100330629","maker-ptg000047l-snap-gene-17.6-mRNA-1"
"648","map9","maker-ptg002179l-snap-gene-2.12-mRNA-1"
"649","caap1","maker-ptg000047l-augustus-gene-13.6-mRNA-1"
"650","npy2r","snap_masked-ptg000792l-processed-gene-3.177-mRNA-1"
"651","elavl2","maker-ptg000047l-snap-gene-11.24-mRNA-1"
"654","gucy1b1","maker-ptg002179l-augustus-gene-1.63-mRNA-1"
"656","fabp2","maker-ptg000047l-snap-gene-8.50-mRNA-1"
"661","cldnd1a","maker-ptg000021l-augustus-gene-38.74-mRNA-1"
"662","alpk1","snap_masked-ptg000011l-processed-gene-4.24-mRNA-1"
"663","epdl1","maker-ptg000334l-snap-gene-2.225-mRNA-1"
"664","usp53b","maker-ptg000314l-snap-gene-4.49-mRNA-1"
"665","dctn1a","maker-ptg000186l-snap-gene-8.45-mRNA-1"
"667","myoz2b","maker-ptg000314l-augustus-gene-4.2-mRNA-1"
"669","synpo2b","snap_masked-ptg000314l-processed-gene-4.24-mRNA-1"
"674","si_ch211-145b13.6","maker-ptg000707l-snap-gene-8.94-mRNA-1"
"675","gpank1","maker-ptg000064l-augustus-gene-3.194-mRNA-1"
"676","pdcd4a","maker-ptg001266l-snap-gene-0.2-mRNA-1"
"677","mxd4","maker-ptg000344l-snap-gene-17.39-mRNA-1"
"680","ndufb6","maker-ptg002045l-augustus-gene-0.5-mRNA-1"
"681","LOC100333871","maker-ptg000344l-augustus-gene-16.64-mRNA-1"
"683","toporsa","snap_masked-ptg000344l-processed-gene-16.35-mRNA-1"
"684","rigi","maker-ptg000344l-augustus-gene-16.53-mRNA-1"
"685","mtap","maker-ptg002045l-snap-gene-0.32-mRNA-1"
"686","cdkn2a_b","snap_masked-ptg000344l-processed-gene-16.28-mRNA-1"
"691","aimp1a","maker-ptg000344l-augustus-gene-15.1-mRNA-1"
"693","dkk2","maker-ptg000344l-snap-gene-14.48-mRNA-1"
"695","cyp2u1","maker-ptg000344l-snap-gene-14.52-mRNA-1"
"697","lef1","snap_masked-ptg000344l-processed-gene-14.26-mRNA-1"
"698","cxxc4","maker-ptg001123l-augustus-gene-0.14-mRNA-1"
"699","znf330","snap_masked-ptg000344l-processed-gene-14.25-mRNA-1"
"702","tbc1d9","maker-ptg000344l-snap-gene-13.32-mRNA-1"
"707","abcg2a","maker-ptg000344l-snap-gene-12.90-mRNA-1"
"710","tet2","maker-ptg001123l-augustus-gene-0.2-mRNA-1"
"711","ppa2","maker-ptg001123l-snap-gene-0.57-mRNA-1"
"713","arhgef38","maker-ptg001123l-snap-gene-0.43-mRNA-1"
"714","ints12","maker-ptg001123l-snap-gene-0.66-mRNA-1"
"715","uso1","maker-ptg001197l-snap-gene-0.85-mRNA-1"
"717","anp32b","maker-ptg001197l-snap-gene-0.114-mRNA-1"
"719","hemgn","maker-ptg001197l-augustus-gene-0.36-mRNA-1"
"720","trmo","maker-ptg001197l-augustus-gene-0.39-mRNA-1"
"725","sh3gl2a","maker-ptg001197l-augustus-gene-0.57-mRNA-1"
"726","cntln","snap_masked-ptg001237l-processed-gene-0.9-mRNA-1"
"728","bnc2","maker-ptg001916l-snap-gene-0.16-mRNA-1"
"731","LOC137490012","maker-ptg000057l-snap-gene-7.0-mRNA-1"
"733","pspc1","maker-ptg000082l-snap-gene-4.3-mRNA-1"
"737","dnajb14","maker-ptg000344l-snap-gene-8.57-mRNA-1"
"746","sugt1","maker-ptg000184l-snap-gene-17.16-mRNA-1"
"748","chst10","maker-ptg000082l-augustus-gene-13.26-mRNA-1"
"749","snapc3","maker-ptg001653l-augustus-gene-0.11-mRNA-1"
"751","psip1a","maker-ptg001653l-augustus-gene-0.0-mRNA-1"
"753","si_ch1073-440b2.1","maker-ptg000082l-snap-gene-14.84-mRNA-1"
"755","ednrba","maker-ptg000184l-augustus-gene-17.20-mRNA-1"
"756","zgc_172295","maker-ptg000082l-augustus-gene-9.90-mRNA-1"
"757","pdxkb","maker-ptg000082l-snap-gene-6.0-mRNA-1"
"758","timmdc1","maker-ptg000620l-snap-gene-3.2-mRNA-1"
"759","zgc_64002","maker-ptg000020l-augustus-gene-20.15-mRNA-1"
"762","trappc10","maker-ptg000082l-augustus-gene-6.79-mRNA-1"
"767","gemin8","maker-ptg000184l-snap-gene-13.16-mRNA-1"
"768","cbsa","maker-ptg000441l-snap-gene-3.31-mRNA-1"
"769","hsf2bp","maker-ptg000620l-snap-gene-8.35-mRNA-1"
"770","ankrd10a","snap_masked-ptg000441l-processed-gene-3.26-mRNA-1"
"773","atp7b","snap_masked-ptg000082l-processed-gene-10.41-mRNA-1"
"774","cars2","maker-ptg000620l-snap-gene-9.3-mRNA-1"
"776","lig4","snap_masked-ptg000441l-processed-gene-8.0-mRNA-1"
"778","si_dkey-1h24.6","maker-ptg000400l-augustus-gene-17.7-mRNA-1"
"781","alg11","snap_masked-ptg000082l-processed-gene-12.49-mRNA-1"
"783","zc3h13","maker-ptg000082l-augustus-gene-12.72-mRNA-1"
"784","tm9sf2","maker-ptg000922l-snap-gene-6.6-mRNA-1"
"785","zic2b","maker-ptg000922l-snap-gene-5.10-mRNA-1"
"786","pcca","maker-ptg000597l-snap-gene-3.35-mRNA-1"
"787","marchf4a","maker-ptg000308l-augustus-gene-4.144-mRNA-1"
"788","vps8","maker-ptg000041l-snap-gene-25.13-mRNA-1"
"791","tmem41ab","maker-ptg000041l-snap-gene-27.31-mRNA-1"
"792","igf2bp2b","maker-ptg000308l-snap-gene-4.65-mRNA-1"
"793","ubac2","maker-ptg000597l-augustus-gene-3.70-mRNA-1"
"794","tra2b","maker-ptg000308l-snap-gene-4.69-mRNA-1"
"795","dachc","snap_masked-ptg000597l-processed-gene-3.30-mRNA-1"
"798","dis3","maker-ptg000922l-snap-gene-7.19-mRNA-1"
"799","metap1d","maker-ptg000400l-snap-gene-8.16-mRNA-1"
